Instance,Family,LB,1M_Cmax,10M_Cmax,1M_hit,10M_hit,delta,10M_gap_to_LB
dpp01a,dauzere,2505,2585,2564,,,-21,59
dpp02a,dauzere,2228,2254,2246,,,-8,18
dpp03a,dauzere,2228,2237,2237,,,0,9
dpp04a,dauzere,2503,2565,2534,,,-31,31
dpp05a,dauzere,2195,2249,2241,,,-8,46
dpp06a,dauzere,2164,2221,2211,,,-10,47
dpp07a,dauzere,2216,2449,2396,,,-53,180
dpp08a,dauzere,2061,2128,2087,,,-41,26
dpp09a,dauzere,2061,2101,2079,,,-22,18
dpp10a,dauzere,2212,2465,2366,,,-99,154
dpp11a,dauzere,2019,2110,2092,,,-18,73
dpp12a,dauzere,1969,2071,2056,,,-15,87
dpp13a,dauzere,2206,2416,2347,,,-69,141
dpp14a,dauzere,2161,2219,2181,,,-38,20
dpp15a,dauzere,2161,2207,2178,,,-29,17
dpp16a,dauzere,2202,2370,2328,,,-42,126
dpp17a,dauzere,2089,2211,2168,,,-43,79
dpp18a,dauzere,2057,2175,2153,,,-22,96
la01_edata,hurink-edata,609,609,609,Y,Y,0,0
la01_rdata,hurink-rdata,570,571,571,,,0,1
la01_vdata,hurink-vdata,570,572,571,,,-1,1
la02_edata,hurink-edata,655,655,655,Y,Y,0,0
la02_rdata,hurink-rdata,529,531,531,,,0,2
la02_vdata,hurink-vdata,529,531,530,,,-1,1
la03_edata,hurink-edata,550,550,550,Y,Y,0,0
la03_rdata,hurink-rdata,477,481,480,,,-1,3
la03_vdata,hurink-vdata,477,479,478,,,-1,1
la04_edata,hurink-edata,568,568,568,Y,Y,0,0
la04_rdata,hurink-rdata,502,504,503,,,-1,1
la04_vdata,hurink-vdata,502,502,502,Y,Y,0,0
la05_edata,hurink-edata,503,503,503,Y,Y,0,0
la05_rdata,hurink-rdata,457,461,459,,,-2,2
la05_vdata,hurink-vdata,457,460,458,,,-2,1
la06_edata,hurink-edata,833,833,833,Y,Y,0,0
la06_rdata,hurink-rdata,799,800,800,,,0,1
la06_vdata,hurink-vdata,799,800,799,,Y,-1,0
la07_edata,hurink-edata,762,762,762,Y,Y,0,0
la07_rdata,hurink-rdata,749,752,751,,,-1,2
la07_vdata,hurink-vdata,749,751,750,,,-1,1
la08_edata,hurink-edata,845,845,845,Y,Y,0,0
la08_rdata,hurink-rdata,765,766,766,,,0,1
la08_vdata,hurink-vdata,765,767,766,,,-1,1
la09_edata,hurink-edata,878,878,878,Y,Y,0,0
la09_rdata,hurink-rdata,853,854,854,,,0,1
la09_vdata,hurink-vdata,853,854,853,,Y,-1,0
la10_edata,hurink-edata,866,866,866,Y,Y,0,0
la10_rdata,hurink-rdata,804,806,805,,,-1,1
la10_vdata,hurink-vdata,804,805,805,,,0,1
la11_edata,hurink-edata,1103,1106,1106,,,0,3
la11_rdata,hurink-rdata,1071,1071,1071,Y,Y,0,0
la11_vdata,hurink-vdata,1071,1072,1071,,Y,-1,0
la12_edata,hurink-edata,960,960,960,Y,Y,0,0
la12_rdata,hurink-rdata,936,937,936,,Y,-1,0
la12_vdata,hurink-vdata,936,936,936,Y,Y,0,0
la13_edata,hurink-edata,1053,1053,1053,Y,Y,0,0
la13_rdata,hurink-rdata,1038,1039,1038,,Y,-1,0
la13_vdata,hurink-vdata,1038,1039,1038,,Y,-1,0
la14_edata,hurink-edata,1123,1123,1123,Y,Y,0,0
la14_rdata,hurink-rdata,1070,1071,1070,,Y,-1,0
la14_vdata,hurink-vdata,1070,1071,1070,,Y,-1,0
la15_edata,hurink-edata,1111,1111,1111,Y,Y,0,0
la15_rdata,hurink-rdata,1089,1092,1090,,,-2,1
la15_vdata,hurink-vdata,1089,1091,1090,,,-1,1
la16_edata,hurink-edata,892,904,892,,Y,-12,0
la16_rdata,hurink-rdata,717,717,717,Y,Y,0,0
la16_vdata,hurink-vdata,717,717,717,Y,Y,0,0
la17_edata,hurink-edata,707,721,707,,Y,-14,0
la17_rdata,hurink-rdata,646,646,646,Y,Y,0,0
la17_vdata,hurink-vdata,646,646,646,Y,Y,0,0
la18_edata,hurink-edata,842,842,842,Y,Y,0,0
la18_rdata,hurink-rdata,666,673,666,,Y,-7,0
la18_vdata,hurink-vdata,663,663,663,Y,Y,0,0
la19_edata,hurink-edata,796,799,796,,Y,-3,0
la19_rdata,hurink-rdata,700,703,703,,,0,3
la19_vdata,hurink-vdata,617,619,617,,Y,-2,0
la20_edata,hurink-edata,857,864,857,,Y,-7,0
la20_rdata,hurink-rdata,756,756,756,Y,Y,0,0
la20_vdata,hurink-vdata,756,756,756,Y,Y,0,0
la21_edata,hurink-edata,1009,1043,1026,,,-17,17
la21_rdata,hurink-rdata,809,871,848,,,-23,39
la21_vdata,hurink-vdata,800,823,813,,,-10,13
la22_edata,hurink-edata,880,890,882,,,-8,2
la22_rdata,hurink-rdata,745,788,777,,,-11,32
la22_vdata,hurink-vdata,733,753,744,,,-9,11
la23_edata,hurink-edata,950,958,956,,,-2,6
la23_rdata,hurink-rdata,820,864,852,,,-12,32
la23_vdata,hurink-vdata,809,829,823,,,-6,14
la24_edata,hurink-edata,908,914,910,,,-4,2
la24_rdata,hurink-rdata,780,830,814,,,-16,34
la24_vdata,hurink-vdata,773,790,790,,,0,17
la25_edata,hurink-edata,936,955,955,,,0,19
la25_rdata,hurink-rdata,771,807,794,,,-13,23
la25_vdata,hurink-vdata,751,770,766,,,-4,15
la26_edata,hurink-edata,1106,1158,1126,,,-32,20
la26_rdata,hurink-rdata,1056,1077,1075,,,-2,19
la26_vdata,hurink-vdata,1052,1060,1059,,,-1,7
la27_edata,hurink-edata,1181,1227,1201,,,-26,20
la27_rdata,hurink-rdata,1085,1111,1102,,,-9,17
la27_vdata,hurink-vdata,1084,1094,1089,,,-5,5
la28_edata,hurink-edata,1142,1174,1154,,,-20,12
la28_rdata,hurink-rdata,1075,1101,1092,,,-9,17
la28_vdata,hurink-vdata,1069,1078,1073,,,-5,4
la29_edata,hurink-edata,1107,1156,1133,,,-23,26
la29_rdata,hurink-rdata,993,1011,1007,,,-4,14
la29_vdata,hurink-vdata,993,999,997,,,-2,4
la30_edata,hurink-edata,1188,1260,1246,,,-14,58
la30_rdata,hurink-rdata,1068,1102,1097,,,-5,29
la30_vdata,hurink-vdata,1068,1073,1073,,,0,5
la31_edata,hurink-edata,1532,1569,1551,,,-18,19
la31_rdata,hurink-rdata,1520,1533,1529,,,-4,9
la31_vdata,hurink-vdata,1520,1527,1522,,,-5,2
la32_edata,hurink-edata,1698,1708,1702,,,-6,4
la32_rdata,hurink-rdata,1657,1667,1667,,,0,10
la32_vdata,hurink-vdata,1657,1661,1661,,,0,4
la33_edata,hurink-edata,1547,1579,1551,,,-28,4
la33_rdata,hurink-rdata,1497,1509,1506,,,-3,9
la33_vdata,hurink-vdata,1497,1501,1501,,,0,4
la34_edata,hurink-edata,1599,1645,1634,,,-11,35
la34_rdata,hurink-rdata,1535,1547,1542,,,-5,7
la34_vdata,hurink-vdata,1535,1538,1536,,,-2,1
la35_edata,hurink-edata,1736,1736,1736,Y,Y,0,0
la35_rdata,hurink-rdata,1549,1559,1556,,,-3,7
la35_vdata,hurink-vdata,1549,1553,1552,,,-1,3
la36_edata,hurink-edata,1160,1203,1191,,,-12,31
la36_rdata,hurink-rdata,1023,1062,1153,,,91,130
