Instance,Config,Solver_Cmax,Verified_Cmax,Feasible,Overhead_vs_nonSDST(%),Improvement(%),Time(s),Errors
fjsp.brandimarte.Mk01.m6j10c3.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),47,47,OK,17.5,37.33,3.98,
fjsp.brandimarte.Mk02.m6j10c6.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),36,36,OK,38.46,30.77,5.04,
fjsp.brandimarte.Mk03.m8j15c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),220,220,OK,7.84,28.1,8.32,
fjsp.brandimarte.Mk04.m8j15c3.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),75,75,OK,25.0,47.18,6.03,
fjsp.brandimarte.Mk05.m4j15c2.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),206,206,OK,19.08,26.43,8.24,
fjsp.brandimarte.Mk06.m15j10c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),80,80,OK,29.03,40.3,9.63,
fjsp.brandimarte.Mk07.m5j20c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),173,173,OK,20.14,33.2,10.27,
fjsp.brandimarte.Mk08.m10j20c2.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),605,605,OK,15.68,21.73,12.14,
fjsp.brandimarte.Mk09.m10j20c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),348,348,OK,13.36,37.3,13.08,
fjsp.brandimarte.Mk10.m15j20c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),261,261,OK,25.48,38.59,14.44,
fjsp.dauzere.01a.m5j10c3.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),2954,2954,OK,13.53,32.03,10.6,
fjsp.dauzere.02a.m5j10c4.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),2646,2646,OK,15.29,35.98,12.86,
fjsp.dauzere.03a.m5j10c5.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),2615,2615,OK,15.86,26.85,15.74,
fjsp.dauzere.04a.m5j10c3.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),2952,2952,OK,15.0,33.57,10.61,
fjsp.dauzere.05a.m5j10c4.txt,300k iters / top-K=8 / single critical path (Shen2018 tabu),2691,2691,OK,18.23,31.87,12.66,
