Instance,Config,Solver_Cmax,Verified_Cmax,Feasible,Overhead_vs_nonSDST(%),Improvement(%),Time(s),Errors
fjsp.brandimarte.Mk01.m6j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),47,47,OK,17.5,37.33,12.86,
fjsp.brandimarte.Mk02.m6j10c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),36,36,OK,38.46,30.77,16.53,
fjsp.brandimarte.Mk03.m8j15c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),219,219,OK,7.35,28.43,27.5,
fjsp.brandimarte.Mk04.m8j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),73,73,OK,21.67,48.59,20.1,
fjsp.brandimarte.Mk05.m4j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),205,205,OK,18.5,26.79,27.05,
fjsp.brandimarte.Mk06.m15j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),77,77,OK,28.33,42.54,32.32,
fjsp.brandimarte.Mk07.m5j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),171,171,OK,19.58,33.98,33.6,
fjsp.brandimarte.Mk08.m10j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),604,604,OK,15.49,21.86,39.44,
fjsp.brandimarte.Mk09.m10j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),340,340,OK,10.75,38.74,42.4,
fjsp.brandimarte.Mk10.m15j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),257,257,OK,26.6,39.53,47.94,
fjsp.dauzere.01a.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2932,2932,OK,13.42,32.54,35.28,
fjsp.dauzere.02a.m5j10c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2646,2646,OK,16.15,35.98,938.04,
fjsp.dauzere.03a.m5j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2599,2599,OK,16.18,27.3,52.42,
fjsp.dauzere.04a.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2952,2952,OK,15.09,33.57,35.35,
fjsp.dauzere.05a.m5j10c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2754,2754,OK,19.74,30.28,302.58,
fjsp.dauzere.06a.m5j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2549,2549,OK,14.77,28.96,57.14,
fjsp.dauzere.07a.m8j15c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2741,2741,OK,11.92,40.31,48.81,
fjsp.dauzere.08a.m8j15c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2465,2465,OK,15.84,33.18,60.0,
fjsp.dauzere.09a.m8j15c8.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2403,2403,OK,14.32,19.17,60.01,
fjsp.dauzere.10a.m8j15c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2774,2774,OK,12.54,36.54,48.8,
fjsp.dauzere.11a.m8j15c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2437,2437,OK,15.5,29.91,59.85,
fjsp.dauzere.12a.m8j15c8.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2363,2363,OK,14.1,18.32,60.01,
fjsp.dauzere.13a.m10j20c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2834,2834,OK,17.3,37.81,60.0,
fjsp.dauzere.14a.m10j20c7.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2590,2590,OK,16.46,26.73,60.0,
fjsp.dauzere.15a.m10j20c10.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2547,2547,OK,15.2,12.74,60.01,
fjsp.dauzere.16a.m10j20c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2780,2780,OK,17.3,38.83,60.0,
fjsp.dauzere.17a.m10j20c7.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2531,2531,OK,15.89,25.93,60.01,
fjsp.dauzere.18a.m10j20c10.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),2593,2593,OK,18.67,11.17,754.1,
fjsp.hurink.edata-la01.m5j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),686,686,OK,12.64,30.78,12.57,
fjsp.hurink.edata-la02.m5j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),725,725,OK,10.69,39.02,12.26,
fjsp.hurink.edata-la03.m5j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),625,625,OK,13.64,31.02,12.63,
fjsp.hurink.edata-la04.m5j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),653,653,OK,14.96,37.93,12.66,
fjsp.hurink.edata-la05.m5j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),575,575,OK,14.31,25.9,12.52,
fjsp.hurink.edata-la06.m5j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),914,914,OK,9.72,34.1,17.27,
fjsp.hurink.edata-la07.m5j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),867,867,OK,13.78,29.97,16.98,
fjsp.hurink.edata-la08.m5j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),905,905,OK,7.1,35.26,16.51,
fjsp.hurink.edata-la09.m5j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),984,984,OK,12.07,26.18,16.55,
fjsp.hurink.edata-la10.m5j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),934,934,OK,7.85,36.29,17.06,
fjsp.hurink.edata-la11.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1239,1239,OK,12.03,35.64,20.97,
fjsp.hurink.edata-la12.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1068,1068,OK,11.25,31.41,21.08,
fjsp.hurink.edata-la13.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1198,1198,OK,13.77,34.78,20.37,
fjsp.hurink.edata-la14.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1239,1239,OK,10.33,26.73,21.64,
fjsp.hurink.edata-la15.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1262,1262,OK,13.59,35.45,21.89,
fjsp.hurink.edata-la16.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1004,1004,OK,11.06,33.2,18.34,
fjsp.hurink.edata-la17.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),793,793,OK,9.99,37.85,18.45,
fjsp.hurink.edata-la18.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),932,932,OK,10.69,31.42,17.87,
fjsp.hurink.edata-la19.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),899,899,OK,12.52,31.69,19.38,
fjsp.hurink.edata-la20.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),928,928,OK,7.41,38.83,18.34,
fjsp.hurink.edata-la21.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1175,1175,OK,12.66,29.72,28.15,
fjsp.hurink.edata-la22.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),994,994,OK,11.69,41.67,27.7,
fjsp.hurink.edata-la23.m10j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1092,1092,OK,13.99,38.55,28.3,
fjsp.hurink.edata-la24.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1040,1040,OK,13.79,41.11,28.14,
fjsp.hurink.edata-la25.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1087,1087,OK,13.82,40.89,27.52,
fjsp.hurink.edata-la26.m10j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1329,1329,OK,14.77,42.34,37.5,
fjsp.hurink.edata-la27.m10j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1391,1391,OK,13.37,39.65,35.85,
fjsp.hurink.edata-la28.m10j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1335,1335,OK,13.71,40.53,35.16,
fjsp.hurink.edata-la29.m10j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1308,1308,OK,13.15,40.41,34.56,
fjsp.hurink.edata-la30.m10j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1414,1414,OK,12.22,36.36,34.63,
fjsp.hurink.edata-la31.m10j30c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1802,1802,OK,14.85,38.03,52.05,
fjsp.hurink.edata-la32.m10j30c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1975,1975,OK,15.63,36.6,50.88,
fjsp.hurink.edata-la33.m10j30c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1794,1794,OK,13.62,41.89,50.15,
fjsp.hurink.edata-la34.m10j30c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1866,1866,OK,13.43,40.27,50.81,
fjsp.hurink.edata-la35.m10j30c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1902,1902,OK,9.56,37.27,50.3,
fjsp.hurink.edata-la36.m15j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1319,1319,OK,9.64,31.98,37.61,
fjsp.hurink.edata-la37.m15j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1523,1523,OK,9.02,36.06,37.87,
fjsp.hurink.edata-la38.m15j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1325,1325,OK,12.96,36.42,37.56,
fjsp.hurink.edata-la39.m15j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1374,1374,OK,12.62,35.46,37.66,
fjsp.hurink.edata-la40.m15j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1305,1305,OK,11.25,40.41,37.62,
fjsp.hurink.edata-mt06.m6j6c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),62,62,OK,12.73,21.52,6.49,
fjsp.hurink.edata-mt10.m10j10c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1023,1023,OK,12.79,29.74,19.29,
fjsp.hurink.edata-mt20.m5j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1304,1304,OK,10.7,40.29,20.8,
fjsp.hurink.rdata-la01.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),643,643,OK,12.61,34.72,14.4,
fjsp.hurink.rdata-la02.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),613,613,OK,15.44,31.36,14.34,
fjsp.hurink.rdata-la03.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),544,544,OK,13.1,30.79,13.71,
fjsp.hurink.rdata-la04.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),576,576,OK,14.29,37.86,14.1,
fjsp.hurink.rdata-la05.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),526,526,OK,14.1,40.5,13.51,
fjsp.hurink.rdata-la06.m5j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),883,883,OK,10.38,33.36,19.06,
fjsp.hurink.rdata-la07.m5j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),847,847,OK,12.63,30.12,18.62,
fjsp.hurink.rdata-la08.m5j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),875,875,OK,14.23,30.33,935.63,
fjsp.hurink.rdata-la09.m5j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),936,936,OK,9.6,28.11,19.68,
fjsp.hurink.rdata-la10.m5j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),901,901,OK,11.79,32.96,19.38,
fjsp.hurink.rdata-la11.m5j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1175,1175,OK,9.71,29.34,975.94,
fjsp.hurink.rdata-la12.m5j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1043,1043,OK,11.31,25.77,24.24,
fjsp.hurink.rdata-la13.m5j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1154,1154,OK,11.07,21.55,945.76,
fjsp.hurink.rdata-la14.m5j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1199,1199,OK,11.95,25.76,24.79,
fjsp.hurink.rdata-la15.m5j20c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1233,1233,OK,12.91,22.79,25.51,
fjsp.hurink.rdata-la16.m10j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),777,777,OK,8.37,41.53,20.19,
fjsp.hurink.rdata-la17.m10j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),679,679,OK,5.11,42.51,19.39,
fjsp.hurink.rdata-la18.m10j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),767,767,OK,13.97,41.45,928.69,
fjsp.hurink.rdata-la19.m10j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),778,778,OK,10.67,38.84,19.46,
fjsp.hurink.rdata-la20.m10j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),793,793,OK,4.89,39.28,19.3,
fjsp.hurink.rdata-la21.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),998,998,OK,14.58,44.18,923.67,
fjsp.hurink.rdata-la22.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),917,917,OK,16.37,35.69,28.79,
fjsp.hurink.rdata-la23.m10j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu),1005,1005,OK,16.32,37.54,923.2,
