Instance,Config,Solver_Cmax,Verified_Cmax,Feasible,Overhead_vs_nonSDST(%),Improvement(%),Time(s),Errors
fjsp.brandimarte.Mk01.m6j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,47,47,OK,17.5,37.33,6.56,
fjsp.brandimarte.Mk02.m6j10c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,36,36,OK,38.46,30.77,9.78,
fjsp.brandimarte.Mk03.m8j15c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,219,219,OK,7.35,28.43,13.87,
fjsp.brandimarte.Mk04.m8j15c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,73,73,OK,21.67,48.59,11.2,
fjsp.brandimarte.Mk05.m4j15c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,205,205,OK,18.5,26.79,17.19,
fjsp.brandimarte.Mk06.m15j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,77,77,OK,28.33,42.54,19.23,
fjsp.brandimarte.Mk07.m5j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,171,171,OK,19.58,33.98,23.68,
fjsp.brandimarte.Mk08.m10j20c2.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,604,604,OK,15.49,21.86,20.59,
fjsp.brandimarte.Mk09.m10j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,340,340,OK,10.75,38.74,22.9,
fjsp.brandimarte.Mk10.m15j20c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,257,257,OK,26.6,39.53,28.26,
fjsp.dauzere.01a.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2932,2932,OK,13.42,32.54,19.04,
fjsp.dauzere.02a.m5j10c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2634,2634,OK,16.86,36.27,27.0,
fjsp.dauzere.03a.m5j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2599,2599,OK,16.18,27.3,36.38,
fjsp.dauzere.04a.m5j10c3.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2952,2952,OK,15.09,33.57,19.22,
fjsp.dauzere.05a.m5j10c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2628,2628,OK,16.85,33.47,26.01,
fjsp.dauzere.06a.m5j10c5.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2549,2549,OK,14.77,28.96,38.03,
fjsp.dauzere.07a.m8j15c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2741,2741,OK,11.92,40.31,26.04,
fjsp.dauzere.08a.m8j15c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2465,2465,OK,15.84,33.18,37.98,
fjsp.dauzere.09a.m8j15c8.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2400,2400,OK,14.23,19.27,56.44,
fjsp.dauzere.10a.m8j15c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2774,2774,OK,12.54,36.54,26.8,
fjsp.dauzere.11a.m8j15c6.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2437,2437,OK,15.5,29.91,38.09,
fjsp.dauzere.12a.m8j15c8.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2362,2362,OK,14.05,18.35,55.01,
fjsp.dauzere.13a.m10j20c4.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2819,2819,OK,16.68,38.14,34.49,
fjsp.dauzere.14a.m10j20c7.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2590,2590,OK,16.72,26.73,51.8,
fjsp.dauzere.15a.m10j20c10.txt,1M iters / top-K=8 / single critical path (Shen2018 tabu) / zero-copy rollback,2547,2547,OK,15.41,12.74,60.0,
