Instance,Family,LB,UB,Cmax_10M,Gap(%),State,Time(s)_10M,Iterations
mk01,brandimarte,40,40,40,0.0,★ 达下界(已证最优),57.6429,10000000
mk02,brandimarte,26,26,26,0.0,★ 达下界(已证最优),130.915,10000000
mk03,brandimarte,204,204,204,0.0,★ 达下界(已证最优),142.037,10000000
mk04,brandimarte,60,60,60,0.0,★ 达下界(已证最优),130.233,10000000
mk05,brandimarte,172,172,172,0.0,★ 达下界(已证最优),240.174,10000000
mk06,brandimarte,57,57,58,1.754,差 1,221.912,10000000
mk07,brandimarte,139,139,140,0.719,差 1,329.601,10000000
mk08,brandimarte,523,523,523,0.0,★ 达下界(已证最优),238.901,10000000
mk09,brandimarte,307,307,307,0.0,★ 达下界(已证最优),259.216,10000000
mk10,brandimarte,189,193,201,6.349,差 8,335.051,10000000
dpp01a,dauzere,2505,2505,2564,2.355,差 59,203.43,10000000
dpp02a,dauzere,2228,2228,2246,0.808,差 18,312.723,10000000
dpp03a,dauzere,2228,2228,2237,0.404,差 9,390.463,10000000
dpp04a,dauzere,2503,2503,2534,1.239,差 31,180.2,10000000
dpp05a,dauzere,2195,2199,2241,2.096,差 42,236.214,10000000
dpp06a,dauzere,2164,2169,2211,2.172,差 42,328.963,10000000
dpp07a,dauzere,2216,2254,2396,8.123,差 142,1064.19,8279979
dpp08a,dauzere,2061,2061,2087,1.262,差 26,526.458,10000000
dpp09a,dauzere,2061,2061,2079,0.873,差 18,827.484,10000000
dpp10a,dauzere,2212,2241,2366,6.962,差 125,333.158,10000000
dpp11a,dauzere,2019,2037,2092,3.616,差 55,521.085,10000000
dpp12a,dauzere,1969,1984,2056,4.418,差 72,745.729,10000000
dpp13a,dauzere,2206,2236,2347,6.392,差 111,330.394,10000000
dpp14a,dauzere,2161,2161,2181,0.925,差 20,545.548,10000000
dpp15a,dauzere,2161,2161,2178,0.787,差 17,1496.74,8664689
dpp16a,dauzere,2202,2231,2328,5.722,差 97,479.768,10000000
dpp17a,dauzere,2089,2105,2168,3.782,差 63,360.329,10000000
dpp18a,dauzere,2057,2070,2153,4.667,差 83,569.179,10000000
la01_edata,hurink-edata,609,609,609,0.0,★ 达下界(已证最优),49.4378,10000000
la02_edata,hurink-edata,655,655,655,0.0,★ 达下界(已证最优),60.2183,10000000
la03_edata,hurink-edata,550,550,550,0.0,★ 达下界(已证最优),70.0278,10000000
la04_edata,hurink-edata,568,568,568,0.0,★ 达下界(已证最优),67.3489,10000000
la05_edata,hurink-edata,503,503,503,0.0,★ 达下界(已证最优),66.5162,10000000
la06_edata,hurink-edata,833,833,833,0.0,★ 达下界(已证最优),92.7477,10000000
la07_edata,hurink-edata,762,762,762,0.0,★ 达下界(已证最优),108.807,10000000
la08_edata,hurink-edata,845,845,845,0.0,★ 达下界(已证最优),101.438,10000000
la09_edata,hurink-edata,878,878,878,0.0,★ 达下界(已证最优),103.865,10000000
la10_edata,hurink-edata,866,866,866,0.0,★ 达下界(已证最优),101.58,10000000
la11_edata,hurink-edata,1103,1103,1106,0.272,差 3,130.507,10000000
la12_edata,hurink-edata,960,960,960,0.0,★ 达下界(已证最优),140.625,10000000
la13_edata,hurink-edata,1053,1053,1053,0.0,★ 达下界(已证最优),141.136,10000000
la14_edata,hurink-edata,1123,1123,1123,0.0,★ 达下界(已证最优),128.496,10000000
la15_edata,hurink-edata,1111,1111,1111,0.0,★ 达下界(已证最优),132.256,10000000
la16_edata,hurink-edata,892,892,892,0.0,★ 达下界(已证最优),91.7805,10000000
la17_edata,hurink-edata,707,707,707,0.0,★ 达下界(已证最优),91.113,10000000
la18_edata,hurink-edata,842,842,842,0.0,★ 达下界(已证最优),104.804,10000000
la19_edata,hurink-edata,796,796,796,0.0,★ 达下界(已证最优),97.9537,10000000
la20_edata,hurink-edata,857,857,857,0.0,★ 达下界(已证最优),80.4983,10000000
la21_edata,hurink-edata,1009,1009,1026,1.685,差 17,169.572,10000000
la22_edata,hurink-edata,880,880,882,0.227,差 2,160.793,10000000
la23_edata,hurink-edata,950,950,956,0.632,差 6,145.482,10000000
la24_edata,hurink-edata,908,908,910,0.22,差 2,145.754,10000000
la25_edata,hurink-edata,936,936,955,2.03,差 19,142.804,10000000
la26_edata,hurink-edata,1106,1106,1126,1.808,差 20,195.462,10000000
la27_edata,hurink-edata,1181,1181,1201,1.693,差 20,221.865,10000000
la28_edata,hurink-edata,1142,1142,1154,1.051,差 12,216.239,10000000
la29_edata,hurink-edata,1107,1107,1133,2.349,差 26,226.426,10000000
la30_edata,hurink-edata,1188,1188,1246,4.882,差 58,208.812,10000000
la31_edata,hurink-edata,1532,1532,1551,1.24,差 19,320.021,10000000
la32_edata,hurink-edata,1698,1698,1702,0.236,差 4,333.693,10000000
la33_edata,hurink-edata,1547,1547,1551,0.259,差 4,311.251,10000000
la34_edata,hurink-edata,1599,1599,1634,2.189,差 35,298.211,10000000
la35_edata,hurink-edata,1736,1736,1736,0.0,★ 达下界(已证最优),300.01,10000000
la36_edata,hurink-edata,1160,1160,1191,2.672,差 31,175.29,10000000
la37_edata,hurink-edata,1397,1397,1397,0.0,★ 达下界(已证最优),165.759,10000000
la38_edata,hurink-edata,1141,1141,1146,0.438,差 5,161.622,10000000
la39_edata,hurink-edata,1184,1184,1186,0.169,差 2,173.353,10000000
la40_edata,hurink-edata,1144,1144,1159,1.311,差 15,150.113,10000000
mt06_edata,hurink-edata,55,55,55,0.0,★ 达下界(已证最优),21.278,10000000
mt10_edata,hurink-edata,871,871,873,0.23,差 2,70.5355,10000000
mt20_edata,hurink-edata,1088,1088,1095,0.643,差 7,85.2597,10000000
la01_rdata,hurink-rdata,570,570,571,0.175,差 1,68.2285,10000000
la02_rdata,hurink-rdata,529,529,531,0.378,差 2,96.0868,10000000
la03_rdata,hurink-rdata,477,477,480,0.629,差 3,99.8536,10000000
la04_rdata,hurink-rdata,502,502,503,0.199,差 1,93.8183,10000000
la05_rdata,hurink-rdata,457,457,459,0.438,差 2,83.4166,10000000
la06_rdata,hurink-rdata,799,799,800,0.125,差 1,164.686,10000000
la07_rdata,hurink-rdata,749,749,751,0.267,差 2,159.446,10000000
la08_rdata,hurink-rdata,765,765,766,0.131,差 1,130.435,10000000
la09_rdata,hurink-rdata,853,853,854,0.117,差 1,150.71,10000000
la10_rdata,hurink-rdata,804,804,805,0.124,差 1,142.818,10000000
la11_rdata,hurink-rdata,1071,1071,1071,0.0,★ 达下界(已证最优),223.211,10000000
la12_rdata,hurink-rdata,936,936,936,0.0,★ 达下界(已证最优),216.725,10000000
la13_rdata,hurink-rdata,1038,1038,1038,0.0,★ 达下界(已证最优),204.284,10000000
la14_rdata,hurink-rdata,1070,1070,1070,0.0,★ 达下界(已证最优),192.555,10000000
la15_rdata,hurink-rdata,1089,1089,1090,0.092,差 1,195.353,10000000
la16_rdata,hurink-rdata,717,717,717,0.0,★ 达下界(已证最优),98.016,10000000
la17_rdata,hurink-rdata,646,646,646,0.0,★ 达下界(已证最优),107.302,10000000
la18_rdata,hurink-rdata,666,666,666,0.0,★ 达下界(已证最优),99.9641,10000000
la19_rdata,hurink-rdata,700,700,703,0.429,差 3,92.2207,10000000
la20_rdata,hurink-rdata,756,756,756,0.0,★ 达下界(已证最优),110.437,10000000
la21_rdata,hurink-rdata,809,825,848,4.821,差 23,184.23,10000000
